provider,game_id,name,image_url,downloaded_file
bgaming_slot,410003,Chicken Rush,,assets/Dcace/BGaming/Game Icon/410003_Chicken Rush.png
bgaming_slot,410004,Luck & Magic Scratch,,assets/Dcace/BGaming/Game Icon/410004_Luck & Magic Scratch.png
bgaming_slot,410005,Lucky Dragon MultiDice X,,assets/Dcace/BGaming/Game Icon/410005_Lucky Dragon MultiDice X.png
bgaming_slot,410006,3 Kings Scratch,,assets/Dcace/BGaming/Game Icon/410006_3 Kings Scratch.png
bgaming_slot,410007,Diamond of Jungle,,assets/Dcace/BGaming/Game Icon/410007_Diamond Of Jungle.png
bgaming_slot,410008,Dragon's Crash,,assets/Dcace/BGaming/Game Icon/410008_Dragon's Crash.png
bgaming_slot,410009,Lucky 8 Merge Up,,assets/Dcace/BGaming/Game Icon/410009_Lucky 8 Merge Up.png
bgaming_slot,410010,Pop Zen,,assets/Dcace/BGaming/Game Icon/410010_Pop Zen.png
bgaming_slot,410011,Aztec Clusters,,assets/Dcace/BGaming/Game Icon/410011_Aztec Clusters.png
bgaming_slot,410012,Wild Heart,,assets/Dcace/BGaming/Game Icon/410012_Wild Heart.png
bgaming_slot,410013,God of Wealth Hold And Win,,assets/Dcace/BGaming/Game Icon/410013_God of Wealth Hold and Win.png
bgaming_slot,410014,Wild Tiger,,assets/Dcace/BGaming/Game Icon/410014_Wild Tiger.png
bgaming_slot,410015,Capymania Green,,assets/Dcace/BGaming/Game Icon/410015_Capymania Green.png
bgaming_slot,410016,Capymania Orange,,assets/Dcace/BGaming/Game Icon/410016_Capymania Orange.png
bgaming_slot,410017,Capymania Yellow,,assets/Dcace/BGaming/Game Icon/410017_Capymania Yellow.png
bgaming_slot,410018,Hottest 666,,assets/Dcace/BGaming/Game Icon/410018_Hottest 666.png
bgaming_slot,410019,Gemza,,assets/Dcace/BGaming/Game Icon/410019_Gemza.png
bgaming_slot,410020,Ice Scratch Bronze,,assets/Dcace/BGaming/Game Icon/410020_Ice Scratch Bronze.png
